author,text
Poe,      additional information either on Monday or in the course of the
Poe,      teeth. Not a speck on their surface—not a shade on their
Dickens,"“Harry? As soon as he had seen your friend here, safe in a coach with"
Poe,      thought—to make sure that my vision had not deceived me—to calm
Poe,      the flowers. No guile disguised the fervor of love which animated
Poe,      came and went!—and the victim—where is she? I knew her not—or
Poe,      was not visited upon me. And once—but once again in the silence
Poe,"      Yet let me not be misapprehended. The undue, earnest, and morbid"
Poe,"      lofty, as to have the appearance of a bonnet or crown of flesh"
Dickens,Perfect stillness ensued—not a rustle—not a breath—Guilty.
Poe,"      (*18) The earth is upheld by a cow of a blue color, having horns"
Dickens,"birth and parentage. Those proofs were destroyed by you, and now, in"
Poe,      gallon of Black Strap—having imbibed which to the prosperity of
Poe,      mental life. I held them in every light. I turned them in every
Dickens,"collect his thoughts. After awhile, he began to remember a few"
Dickens,"Roused into new strength and energy, and stimulated by the noise within"
Poe,"      northward. The sun arose with a sickly yellow lustre, and"
Poe,"      replete with horror—horror more horrible from being vague, and"
Dickens,"these dogs?” asked Monks, looking from one to the other of the men who"
Poe,      ship itself will grow in bulk like the living body of the
Poe,"      things, my reason bore resemblance to that ocean-crag spoken of"
Poe,"      bid you good-bye. And by the way, it does seem something like a"
Dickens,"disgrace on no one living, except you who use it. Let that pass. He was"
Dickens,"The knocking came again. No, it wasn’t he. He never knocked like that."
Poe,      tons was whirled from Paddington to Didcot (53 miles) in 51
Dickens,"hand upon his head, “is your half-brother; the illegitimate son of your"
Poe,"      that of the wind; when we set in motion the spring of the screw,"
Poe,"      “As the original design was to cross the British Channel, and"
Poe,      instantaneously—at least at so far as regards any distance upon
Poe,"      by Ptolemy Hephestion, which steadily resisting the attacks of"
Poe,"      thousand tumultuous recollections are startled at the sound! Ah,"
Poe,"      In a night such as is this to me, a man _lives_—lives a whole"
Dickens,"themselves into the centre of the crowd at the street corner, and swore"
Poe,"      sylph amid the shrubberies of Arnheim! Oh, Naiad among its"
Dickens,"As the old officer knew him more and more, he grew to love him. I would"
Dickens,"have him clothed and taught, and send him to some quiet country place"
Poe,      In that chamber was I born. Thus awaking from the long night of
Poe,      well as I can judge—but it is very difficult to determine this
Poe,"      first, struck with the idea of our being among breakers; so"
Dickens,grief were mingled in the cup; but there were no bitter tears: for even
Poe,      Vide ton verre plein!
Dickens,“Wot’s come of young Bates?” demanded Kags.
Dickens,"although the former is bald, and the last-named boy quite grey. They"
Poe,"      morning at daybreak; but owing to a thick fog, which encumbered"
Poe,"      my soul; and sinking back upon the chair, I remained for some"
Dickens,"him, as though he listened still."
Poe,"      glided through devious ways into its channel, as well as the"
Dickens,"never there; rooms so small, so filthy, so confined, that the air would"
Dickens,"torture, the protracted anguish of that ill-assorted union. I know how"
Dickens,"“Not yet, not yet,” said the young man, detaining her as she rose. “My"
Poe,      adventure such as this. May God grant that we succeed! I ask not
